,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
82,AMUNDSEN (ROALD),Amundsen (Roald) Park,ChIJP8wg2l7LD4gR-pE-o8mobFc,4.3,332.0,1.0,,,
83,GALEWOOD,Galewood Park,ChIJc2cIhqTMD4gRWsGlb5rJ6qM,4.0,70.0,1.0,,,
84,CRAGIN,Cragin Park,ChIJoa5MXY3MD4gRq9rVvn4thMc,4.2,203.0,0.0,,,
85,GREENEBAUM (HENRY),Greenebaum (Henry) Park,ChIJxfo0NCHND4gRCQYoXGoAtsw,4.1,170.0,1.0,,,
86,PLEASANT POINT,Pleasant Point Park,ChIJlYPJMRXJD4gRS-q4Vi_Hm88,4.5,53.0,1.0,,,
87,NORWOOD,North Natoma Avenue,ChIJr1H3UVzJD4gRP2CPQm-Ecp8,0.0,0.0,0.0,,,
88,PORTAGE,Portage Park,ChIJJQKHOm3MD4gRppBKQj6E98Q,4.6,601.0,1.0,,,
89,SHABBONA,Shabbona Park,ChIJjbfVWqHLD4gRUmEtBsKhZf8,4.4,533.0,1.0,,,
90,JACOB,Jacob Playlot Park,ChIJhS4wBfjND4gR-G5AwshAPL4,4.6,48.0,1.0,,,
91,BUFFALO,Buffalo Park,ChIJQRQOMvbND4gR7W6FaybpxUg,4.0,39.0,1.0,,,
92,SUNKEN GARDENS,Sunken Gardens Park,ChIJ6xpsqgnSD4gRC2ZCdC_GHO0,4.4,65.0,1.0,,,
93,RAVENSWOOD MANOR,Ravenswood Manor Park,ChIJYZMee_fND4gR3NR6gtpZqQQ,4.7,193.0,1.0,,,
94,INDIAN BOUNDARY,Indian Boundary Park,ChIJEzbJudbRD4gRuoetafrYhi4,4.7,977.0,1.0,,,
95,DURKIN (MARTIN),Durkin (Martin) Park,ChIJqakAjXgwDogRooXxyLCmexI,4.4,115.0,1.0,,,
96,POTTAWATTOMIE,Pottawattomie Park,ChIJd163qErQD4gRlNKBsZzhH0E,4.3,547.0,1.0,,,
97,CHIPPEWA,Chippewa Park,ChIJ85aKtVLPD4gRh9-iRXkTkXI,4.6,18.0,1.0,,,
98,MATANKY (EUGENE),Matanky (Eugene) Park,ChIJjco_-cjRD4gRGCAj56h71WI,4.4,21.0,1.0,,,
99,RIDGE,Ridge Park,ChIJj27rqBIlDogRs1dIMNw1IKY,4.5,325.0,1.0,,,
100,COSME (MARGARET),Cosme (Margaret) Park,ChIJh5FnVGUlDogRnV2ho7s8gK4,4.9,10.0,1.0,,,
101,BRAINERD,Brainerd Park,ChIJH7cjR4MlDogR068ogdiAamU,4.2,237.0,1.0,,,
102,GRAVER (PHILIP),Graver Park,ChIJr_w-YwglDogRxsisciWDCXo,4.1,109.0,1.0,,,
103,REVERE (PAUL),Revere (Paul) Park,ChIJDWIjhXPSD4gR-gs7n9_hUns,4.4,184.0,1.0,,,
104,RIVER,River Park,ChIJBWB10f3ND4gRUmPnm1mL2DA,4.6,819.0,1.0,,,
105,BRANDS,Brands Park,ChIJ2-ZI2YDND4gRVbxiRFrysdU,4.4,223.0,1.0,,,
106,GREEN BRIAR,Green Briar Park,ChIJiVW_8uHRD4gREwm8C_8f4l0,4.2,153.0,1.0,,,
107,COOPER (JACK),Cooper (Jack Leroy) Park,ChIJq2-b414kDogRlOQNa95YA9w,4.1,84.0,1.0,,,
108,CALIFORNIA,California Park,ChIJbVwa-InND4gRFl4TqzLuOXI,4.7,35.0,1.0,,,
109,SAUGANASH,Sauganash Park,ChIJf25CJojOD4gRRH1DEUDPphM,4.5,153.0,1.0,,,
110,LA FOLLETTE (ROBERT),La Follette (Robert) Park,ChIJaQhPHMnMD4gR-PQ3dDJjshw,4.3,458.0,1.0,,,
111,FRANKLIN (BENJAMIN),Franklin (Benjamin) Park,ChIJs87-z_4yDogRb7TYZ_ZNkm0,4.1,157.0,1.0,,,
112,HOLSTEIN,Holstein Park,ChIJI_8AKZHSD4gREcvN6m8nJAk,4.5,347.0,1.0,,,
113,GARFIELD (JAMES),Garfield (James) Park,ChIJd4nVVMcyDogRWgIDuaJ7yaQ,4.3,528.0,1.0,,,
114,SHERIDAN (PHILIP HENRY),Sheridan (Philip Henry) Park,ChIJRSDd2OMsDogRNPueue5nY_4,4.4,318.0,1.0,,,
115,ALTGELD (JOHN),Altgeld (John) Park,ChIJVxC842gtDogRiM5kHu19sqI,3.9,186.0,1.0,,,
116,AUSTIN TOWN HALL,Austin Town Hall Park,ChIJG87z8E8zDogRk3lVexzSc2k,4.2,379.0,1.0,,,
