,name,place_id,rating,user_ratings_total,lat_g,lng_g
160,Burton Place,ChIJl9ckvkbTD4gR1-pEaUrGg8I,4.1,357,41.9090351,-87.63447389999999
219,Cardozo's Pub,ChIJB13mKLosDogR7NEWglf77Kc,4.1,304,41.8833918,-87.6332364
225,La Leña Restaurant,ChIJjQZ5bjnND4gRIxe7cQwKK6k,4.1,284,41.9101116,-87.7212943
723,Fremont Chicago,ChIJPbLTBrIsDogRuLOjM3yNN64,4.1,975,41.890609,-87.628692
226,Vines On Clark,ChIJv9GD67LTD4gRC4MSRkFMvnA,4.1,284,41.9468816,-87.6564539
230,Christmas Club Pop-Up Bar,ChIJm5JSle_TD4gRHd0ooo149zo,4.1,49,41.9449841,-87.65507000000001
440,Charlie's Chicago,ChIJx_GIsbDTD4gR7DrzO8yy6aI,4.1,152,41.9498988,-87.6489525
469,Publican Tavern,ChIJc43hdSe0D4gRcqi4lDOeuy4,4.1,1911,41.976665,-87.9009428
255,President's Lounge,ChIJ3xnnLcYoDogRz36XBMBsDpo,4.2,104,41.7584049,-87.60824509999999
909,The Oasis Tavern,ChIJ_WuwjqjRD4gRw2kA3WFc_Os,4.2,237,42.0059558,-87.6607737
301,Hawkeye's Bar,ChIJ35PmkBstDogR5ttrfkbvADY,4.2,1567,41.8694158,-87.6639314
832,Palmer House a Hilton Hotel,ChIJv-CygqQsDogRfgd52uaGbCI,4.2,10944,41.8803066,-87.6267388
889,Billy Goat Tavern (near United Center),ChIJ8acxcSQtDogRxnEBTTBqyDg,4.2,1546,41.8812273,-87.6658873
827,Emporium Fulton Market,ChIJs3TzE9AsDogRBxcP9xfz7h8,4.2,853,41.8866497,-87.6491947
281,Stocks & Blondes,ChIJgZ8EebksDogRGGZSlPZ0edM,4.2,830,41.882874,-87.6340489
844,Old Town Pub,ChIJLa9qbkbTD4gR6to_2hEbbN0,4.2,233,41.9068911,-87.634422
179,ROOF on theWit,ChIJH7aA-q8sDogREB67iM5kWks,4.2,1659,41.8860414,-87.62762330000001
836,Standard Bar and Grill,ChIJsVYaf8_SD4gRVrbJE3fMuJk,4.2,577,41.9057341,-87.67065389999999
621,Mac Guffins Bar And Grill,ChIJQz0xz7osDogR4eTflghXUH0,4.2,24,41.88375449999999,-87.6290258
363,BAR22,ChIJs8mIF3wsDogRwQQYGEseDfA,4.2,175,41.8516503,-87.6239299
321,Franklin Tap,ChIJMWe7RL4sDogR3KxP_dZRLg8,4.2,902,41.8773351,-87.63495549999999
546,Vinny's Pizza Bar,ChIJp37duccsDogRb1J830qBJDE,4.2,121,41.8842545,-87.6399682
541,Mark II Lounge,ChIJnyjh4yzQD4gRJQ5xg1DMCmQ,4.2,375,42.0170526,-87.69041159999999
540,Vintage Bar,ChIJpSKBjxstDogRZpORMP6WC-U,4.2,714,41.8691983,-87.66354150000001
539,Cerise Rooftop,ChIJs0YMg68sDogRYI8MJZJk3K4,4.2,756,41.8860366,-87.62599279999999
720,Zakopane,ChIJaSUI4s7SD4gRlx_YJ5ftK-c,4.2,77,41.9034311,-87.671314
530,MBar - Millennium Station,ChIJPQtH4aUsDogR88Q4ytNDC-A,4.2,134,41.88483180000001,-87.6242312
506,Slippery Slope,ChIJdy7U9WLND4gRlsn7Bwe_NI8,4.2,743,41.9241004,-87.6990871
620,Heineken Pub97,ChIJsasCCnfSD4gRhzbCRfGo7jA,4.2,71,41.9476433,-87.6952106
616,Queenie’s Supper Club,ChIJD-x-I5wtDogRw8Lc0DJWUxc,4.2,41,41.8807163,-87.67460439999999
475,Rizzo's Bar & Inn,ChIJ2z1ZLrPTD4gRhQUkbvnmUJk,4.2,522,41.94850539999999,-87.6578794
459,Charlotte's Bar & Grill,ChIJ3cd3NvjLD4gRUZVW-xPlUx0,4.2,130,41.9687549,-87.7784896
450,Club Escape,ChIJs0QtRvIoDogR8WrLFFKPegE,4.2,251,41.7588849,-87.587154
436,Tiny Tapp & Café,ChIJUdmKarAsDogRexPkv_0AQEA,4.2,956,41.88713449999999,-87.6301879
595,Jefferson Inn,ChIJBVTGNRrMD4gRPISwjQZZDx8,4.2,97,41.9696488,-87.7625197
430,Whale Tale,ChIJHfVnP-TSD4gR8oVb8hZbizQ,4.2,20,41.9219254,-87.6645712
419,The Owl,ChIJBx1wOnvND4gRaS_15kiHTiQ,4.2,792,41.9272389,-87.70406109999999
417,THE BAR 10 DOORS,ChIJUyr4jh0tDogRDPLoyav0PwE,4.2,601,41.869285,-87.6589137
412,Bridgeport Inn,ChIJA7_EqEwsDogRhm4UfA65p_k,4.2,110,41.8416221,-87.6577197
738,Fatpour Tap Works - Wicker Park,ChIJh8HZ2cnSD4gRTH6nqjWyRaw,4.2,1091,41.9030239,-87.6776167
756,Innjoy,ChIJE6NfZ67SD4gRjZO9aR-80PM,4.2,422,41.903001,-87.6792612
774,Galileo's,ChIJtbDbbJ22D4gRQYZs1cgwClU,4.2,26,41.9811257,-87.905734
397,The Cubby Bear Chicago,ChIJVR_s6bLTD4gRE48xLsrwvIM,4.2,1179,41.9469512,-87.6567149
591,Tradition,ChIJT3ESzrksDogRCI0vouzR9Gc,4.2,374,41.884831,-87.6355576
585,Weather Mark Tavern,ChIJI1QKdIQsDogRjgkYIBdyOE4,4.2,816,41.8618972,-87.623824
354,Jovial Club,ChIJI6sWbO4nDogRDjWyNwksMi8,4.2,202,41.7204483,-87.55088289999999
