,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons)
27,2418,Davis Junction Landfill,IL,8900 Highway 251,Davis Junction,Ogle,61020.0,42.147,-89.0825,1976.0,1995.0,Closed,
28,480,DeKalb County LF,IL,18370 Somonauk Road,DeKalb,DeKalb,60115.0,41.898,-88.686,1958.0,2062.0,Open,7301105.0
29,1866,Des Plaines Landfill,IL,9800 West Central Road,Des Plaines,Cook,60016.0,42.0689,-87.8653,1963.0,1983.0,Closed,6914370.0
31,21398,Eco Hill Landfill,IL,137 Commercial Drive,Atkinson,Henry,61235.0,41.407503,-90.003647,1981.0,2034.0,Open,3097270.0
32,499,Envirofil of Illinois Inc.,IL,13998 E. 1400th Street,Macomb,McDonough,61455.0,40.484333,-90.638,1970.0,2171.0,Open,4446233.0
33,487,Environtech LF,IL,1800 Ashley Road,Morris,Grundy,60450.0,41.37299,-88.4026,1987.0,2016.0,Closed,7904743.0
36,471,Five Oaks RDF,IL,890 E. 1500 North Road,Taylorville,Christian,62568.0,39.54693,-89.29487,1978.0,2057.0,Open,13560840.0
37,2307,Freeport Municipal Landfill #4,IL,2133 S. Walnut Road,Freeport,Stephenson,61032.0,42.2657,-89.6212,1987.0,2003.0,Closed,780000.0
38,483,Greene Valley RDF,IL,9 S. 610 Greene Road,Naperville,DuPage,60565.0,41.73045,-88.07444,1974.0,1996.0,Closed,16282279.0
40,2164,H.O.D. Landfill,IL,McMillen Road,Antioch,Lake,60002.0,42.476,-88.082,1963.0,1984.0,Closed,2000000.0
41,524,Herrin Municipal,IL,Landfill Road Rural Route 1,Herrin,Williamson,,37.776,-89.0055,1975.0,1994.0,Closed,1980816.0
42,2313,Hickory Ridge Landfill Inc.,IL,32246 375th Street,Baylis,Pike,62314.0,39.698,-90.914,1976.0,2065.0,Open,4148663.0
43,1872,Illinois Landfill Inc.,IL,16310 E. 4000 North Road,Hoopeston,Vermilion,60942.0,40.445375,-87.63883,1975.0,2198.0,Open,2596391.0
44,488,Illinois Waste Systems Landfill,IL,County Road 9 at Chicago and Eastern Railroad,Milford,Iroquois,60953.0,40.6306604,-87.7187113,1975.0,1993.0,Closed,1900000.0
45,12145,Indian Creek Landfill #2,IL,24501 W. McMullen Road,Hopedale,Tazewell,61747.0,40.427915,-89.464918,2004.0,2044.0,Open,5334514.0
46,2420,Jerseyville Sanitation Landfill,IL,1336 Crystal Lake Road,Jerseyville,Jersey,62052.0,39.0869,-90.3189,1965.0,1992.0,Closed,
47,489,K & H Disposal Landfill,IL,U.S. Route 52,Donovan,Iroquois,60931.0,40.8833,-87.6161,1974.0,1993.0,Closed,8887255.0
48,493,Kankakee County RDF,IL,6259 S. Route 45 & 52,Chebanse,Kankakee,60922.0,41.031,-87.8624,1976.0,2005.0,Closed,3336571.0
51,2308,Knox County LF #3,IL,996 Knox Road 2150 North,Oneida,Knox,61467.0,41.015,-90.248,1974.0,2026.0,Open,3465503.0
52,475,Lake LF,IL,1300 Willow Road,Northbrook,Cook,60062.0,42.1055,-87.8125,1970.0,1993.0,Closed,15786494.0
56,476,Land & Lakes #1 and #2,IL,1220 East 138th Street,Park Ridge,Cook,60068.0,41.644648,-87.59333,1971.0,1993.0,Closed,11183620.0
57,477,Land & Lakes #3,IL,2000 E. 122nd Street,Chicago,Cook,60633.0,41.6737,-87.5732,1977.0,1998.0,Closed,3307390.0
58,2322,Land & Lakes/Willow Ranch Landfill,IL,1371 N. Joliet Road,Romeoville,Will,60446.0,41.670518,-88.062795,1981.0,1992.0,Closed,2000000.0
59,2309,LandComp Landfill,IL,2840 E. 13th Road,Ottawa,LaSalle,61350.0,41.347899,-88.913509,1998.0,2064.0,Open,4543945.0
60,2310,Landfill 33 Ltd.,IL,1713 S. Willow Street,Effingham,Effingham,62401.0,39.101,-88.526,1981.0,2024.0,Open,2246099.0
61,1857,Lansing LF,IL,170th Street,Lansing,Cook,60438.0,41.586111,-87.55,,,Closed,1300000.0
